French Phrase|English Translation|Literal Translation
Quel temps fait-il ?|How's the weather?|What time/weather makes it?
Quel temps fera-t-il demain ?|What will the weather be like tomorrow?|What time/weather will make it tomorrow?
Quelle est la date aujourd'hui ?|What's today's date?|What is the date today?
Quelle est la date ?|What's the date?|What is the date?
Quelle est la température ?|What's the temperature?|What is the temperature?
Quelle est l'adresse ?|What's the address?|What is the address?
Quelle est ton adresse e-mail ?|What's your email address?|What is your address email?
Quelle est ton adresse ?|What's your address?|What is your address?
Quelle heure est-il ?|What time is it?|What hour is it?
Quelle nourriture est-ce que tu préfères ?|What's your favorite food?|What food is it that you prefer?
Quelle route est-ce que je devrais prendre ?|Which road should I take?|What road is it that I should take?
Quelle sorte de musique est-ce que tu aimes ?|What kind of music do you like?|What sort of music is it that you like?
Quelle taille ?|What size?|What size?
Quelquefois je vais me coucher à onze heures du soir...|Sometimes I go to sleep at 11 p.m...|Sometimes I go me to bed at eleven hours of the evening...
Quelques livres|Some books.|Some books.
Quelques-uns|A few.|Some ones.
Quelqu'un fait ça pour moi ?|Someone does that for me?|Someone does that for me?
Quelqu'un vient ?|Someone is coming.|Someone comes?
Quels sont tes passe-temps ?|What are your hobbies?|Which are your pass-times?
Qu'en penses-tu ?|What do you think?|What of it think you?
Qu'est-ce que ça dit ?|What does this say?|What is it that that says?
Qu'est-ce que ça veut dire ?|What does this mean?|What is it that that wants to say?
Qu'est-ce que c'est que ça ?|What's this? / What is that?|What is it that it is that that?
Qu'est-ce que c'est ?|What is it?|What is it that it is?
Qu'est-ce que je devrais mettre ?|What should I wear?|What is it that I should put (on)?
Qu'est-ce que les gens font d'habitude en été à Los Angeles ?|What do people usually do...|What is it that the people do of habit in summer at Los Angeles?
Qu'est-ce que tes parents font comme travail ?|What do your parents do for work?|What is it that your parents do like work?
Qu'est-ce que ton père fait comme travail ?|What does your father do for work?|What is it that your father does like work?
Qu'est-ce que tu as fait hier ?|What did you do yesterday?|What is it that you have done yesterday?
Qu'est-ce que tu as fait la nuit dernière ?|What did you do last night?|What is it that you have done the night last?
Qu'est-ce que tu as pensé ?|What did you think?|What is it that you have thought?
Qu'est-ce que tu as ?|What do you have?|What is it that you have?
Qu'est-ce que tu étudies ?|What do you study?|What is it that you study?
Qu'est-ce que tu fais comme travail ?|What do you do for work?|What is it that you do like work?
Qu'est-ce que tu fais ?|What are you doing?|What is it that you do?
Qu'est-ce que tu recommandes ?|What do you recommend?|What is it that you recommend?
Qu'est-ce que tu vas faire ce soir ?|What are you going to do tonight?|What is it that you go to do this evening?
Qu'est-ce que tu vas prendre ?|What are you going to have?|What is it that you go to take?
Qu'est-ce que tu veux acheter ?|What do you want to buy?|What is it that you want to buy?
Qu'est-ce que tu veux faire ?|What do you want to do?|What is it that you want to do?
Qu'est-ce que tu voudrais boire ?|What would you like to drink?|What is it that you would want to drink?
Qu'est-ce que tu voudrais manger ?|What would you like to eat?|What is it that you would want to eat?
Qu'est-ce qui est mieux, les spaghettis ou la salade au poulet ?|Which is better...|What that is better, the spaghettis or the salad at-the chicken?
Qu'est-ce qui est mieux ?|Which is better?|What that is better?
Qu'est-ce qui le mieux ?|Which is the best?|What that is the better?
Qu'est-ce qui ne va pas ?|What's wrong?|What that not goes not?
Qu'est-ce qui s'est passé ?|What happened?|What that itself is passed?
Qu'est-ce qu'il fait comme travail ?|What does he do for work?|What is it that he does like work?
Qu'est-ce qu'il y a dedans ?|What's in it?|What is it that it there has in-it?
Qu'est-ce qu'ils étudient ?|What do they study?|What is it that they study?
Qui a envoyé cette lettre ?|Who sent this letter?|Who has sent this letter?
Qui a gagné ?|Who won?|Who has won?
Qui c'était ?|Who was that?|Who it was?
Qui cherches-tu ?|Who are you looking for?|Who look-for you?
Qui est à l'appareil ?|Who's calling?|Who is at the apparatus (phone)?
Qui est cet homme là-bas ?|Who's that man over there?|Who is this man there-down?
Qui est-ce ?|Who is it?|Who is it?
Qui es-tu ?|Who are you?|Who are you?
Qui était ton professeur ?|Who was your teacher?|Who was your professor?
Qui sont-ils ?|Who are they?|Who are they?
Qui t'a appris ça ?|Who taught you that?|Who to-you has taught that?
Qui t'a appris ?|Who taught you?|Who to-you has taught?
Quoi d'autre ?|Anything else?|What of other?
Quoi de neuf ?|What's up?|What of new?
Ramasse tes vêtements|Pick up your clothes.|Pick up your clothes.
Réglez ça dehors|Take it outside.|Settle that outside.
Retrouvons-nous devant l'hôtel|Let's meet in front of the hotel.|Find-again ourselves before the hotel.
Rien d'autre|Nothing else.|Nothing of other.
Sa chambre est très petite|His room is very small.|His/her room is very small.
Sa famille arrive demain|His family is coming tomorrow.|His/her family arrives tomorrow.
Salut|Hello / Hi.|Salute.
Samedi, ça va ?|How about Saturday?|Saturday, that goes?
Santé|Cheers!|Health.
Serveur|Waiter!|Waiter.
Serveuse|Waitress!|Waitress.
Si vous avez besoin de mon aide...|If you need my help...|If you have need of my aid, make it to me know if it you pleases.
Si vous l'aimez, je peux en acheter plus|If you like it I can buy more.|If you it like, I can of it to buy more.
S'il te plaît appelle-moi|Please call me.|If it to-you pleases call me.
S'il te plaît attends-moi|Please wait for me.|If it to-you pleases wait for me.
S'il te plaît compte ça pour moi|Please count this for me.|If it to-you pleases count that for me.
S'il te plaît dis-lui que John a appelé|Please tell her John called.|If it to-you pleases say to her that John has called.
S'il te plaît dis-moi|Please tell me.|If it to-you pleases say to me.
S'il te plaît écris-le|Please write it down.|If it to-you pleases write it.
S'il te plaît rentre|Please come in.|If it to-you pleases enter.
S'il te plaît|Please.|If it to-you pleases.
S'il vou plaît emmenez-moi à l'aéroport|Please take me to the airport.|If it you pleases lead me to the airport.
S'il vous plaît asseyez-vous|Please sit down.|If it you pleases sit yourself down.
S'il vous plaît emmenez-moi à cette adresse|Please take me to this address.|If it you pleases lead me to this address.
S'il vous plaît enlevez vos chaussures|Please take off your shoes.|If it you pleases remove your shoes.
S'il vous plaît parlez anglais|Please speak English.|If it you pleases speak English.
S'il vous plaît parlez plus lentement|Please speak more slowly.|If it you pleases speak more slowly.
S'il vous plaît remplissez ce formulaire|Please fill out this form.|If it you pleases fill this form.
Son fils|His son.|His/her son.
Suivez-moi|Follow me.|Follow me.
Super|Great.|Super.
Ta fille|Your daughter.|Your daughter.
Tais-toi|Be quiet.|Silent yourself.
Tente ta chance|Take a chance.|Try your chance.
Tourne à droite|Turn right.|Turn to right.
Tourne à gauche|Turn left.|Turn to left.
Tourne-toi|Turn around.|Turn yourself.
Tout est prêt|Everything is ready.|All is ready.
Tout le monde le sais|Everyone knows it.|All the world it knows.
Toute la journée|All day.|All the day.
Travailles-tu aujourd'hui ?|Are you working today?|Work you today?
Travailles-tu demain ?|Are you working Tomorrow?|Work you tomorrow?
Très bien, merci|Very good, thanks.|Very well, thanks.
Tu as l'air fatigué|You look tired.|You have the air tired.
Tu as raison|You're right.|You have reason.
Tu as une très belle voiture|You have a very nice car.|You have a very beautiful car.
Tu crois ça ?|Do you believe that?|You believe that?
Tu entends ça ?|Do you hear that?|You hear that?
Tu es belle|You're beautiful.|You are beautiful.
Tu es plus intelligent que lui|You're smarter than him.|You are more intelligent than him.
Tu es très intelligent|You're very smart.|You are very intelligent.
Tu es très sympa|You're very nice.|You are very nice.
Tu parles l'anglais très bien|You speak English very well.|You speak the English very well.
Tu ressembles à ta soeur|You look like my sister (typo in prompt was likely sister).|You resemble to your sister.
Tu te sens mieux|Do you feel better?|You yourself feel better?
Un aller simple ou un aller-retour ?|One way or round trip?|A go simple or a go-return?
Un aller simple|A one way ticket.|A go simple.
Un aller-retour|A round trip ticket.|A go-return.
Un billet pour New York s'il vous plaît|One ticket to New York please.|A ticket for New York if it you pleases.
Un comme ça|One like that.|One like that.
Un peu|A little.|A little.
Viens ici|Come here.|Come here.
Voilà mon numéro|Here's my number.|There-is my number.
Voilà votre commande|Here's your order.|There-is your command.
Voilà votre salade|Here is your salad.|There-is your salad.
Voilà|Here it is.|There-is.
Vos affaires sont toutes là|Your things are all here.|Your affairs are all there.
Vos enfants sont très bien élevés|Your children are very well behaved.|Your children are very well raised.
Votre maison est très jolie|Your house is very nice.|Your house is very pretty.
Voudriez-vous acheter ça ?|Would you like to buy this?|Would want you to buy that?
Voudriez-vous aller vous promener ?|Would you like to go for a walk?|Would want you to go yourself to promenade?
Voudriez-vous de l'eau ou du lait ?|Would you like water or milk?|Would want you some water or some milk?
Voudriez-vous de l'eau ?|Would you like some water?|Would want you some water?
Voudriez-vous dîner avec moi ?|Would you like to have dinner with me?|Would want you to dine with me?
Voudriez-vous du café ou du thé ?|Would you like coffee or tea?|Would want you some coffee or some tea?
Voudriez-vous du vin ?|Would you like some wine?|Would want you some wine?
Voudriez-vous louer un film ?|Would you like to rent a movie?|Would want you to rent a movie?
Voudriez-vous prendre un message s'il vous plaît ?|Would you take a message please?|Would want you to take a message if it you pleases?
Voudriez-vous quelque chose à boire ?|Would you like something to drink?|Would want you something at to drink?
Voudriez-vous quelque chose à manger ?|Would you like something to eat?|Would want you something at to eat?
Voudriez-vous regarder la television ?|Would you like to watch TV?|Would want you to watch the television?
Voudriez-vous un verre d'eau ?|Would you like a glass of water?|Would want you a glass of water?
Vous attendez depuis longtemps ?|Have you been waiting long?|You wait since long-time?
Vous voilà|Here you are.|You there-is.
Vraiment ?|Really?|Truly?
