Tags	Traveler Usefulness (1-10)	English	Romanji	Japanese
Health (Body Parts); Pain	9	My abdomen hurts.	Onaka ga itai desu.	お腹が痛いです。
Health (Body Parts); Pain	8	My back hurts.	Senaka ga itai desu.	背中が痛いです。
Health (Body Parts); Pain	8	My lower back hurts.	Koshi ga itai desu.	腰が痛いです。
Health (Body Parts); Pain	8	My buttocks hurt.	Shiri ga itai desu.	尻が痛いです。
Health (Body Parts); Pain	8	My legs hurt.	Ashi ga itai desu.	足が痛いです。
Health (Body Parts); Pain	8	My knees hurt.	Hiza ga itai desu.	膝が痛いです。
Health (Body Parts); Pain	8	My ankles hurt.	Ashikubi ga itai desu.	足首が痛いです。
Health (Body Parts); Pain	8	My thighs hurt.	Futomomo ga itai desu.	太ももが痛いです。
Health (Body Parts); Pain	8	My calves hurt.	Hukurahagi ga itai desu.	ふくらはぎが痛いです。
Health (Body Parts); Pain	8	My feet hurt.	Ashi ga itai desu.	足が痛いです。
Health (Body Parts); Pain	8	My toes hurt.	Ashi no yubi ga itai desu.	足の指が痛いです。
Health (Body Parts); Location	7	Right shoulder.	Migi kata.	右肩。
Health (Body Parts); Location	7	Left shoulder.	Hidari kata.	左肩。
Medicine; Health (Pharmacy)	9	Please give me cold medicine.	Kaze gusuri o kudasai.	風邪薬をください。
Medicine; Health (Pharmacy)	9	Please give me anti-migraine pills.	Zutsu yaku o kudasai.	頭痛薬をください。
Medicine; Health (Pharmacy)	9	Please give me aspirin.	Asupirin o kudasai.	アスピリンをください。
Medicine; Health (Pharmacy)	8	Please give me pills to calm my digestive system.	Seichozai o kudasai.	整腸剤をください。
Medicine; Health (Pharmacy)	8	Please give me cough drops.	Nodo ame o kudasai.	喉飴をください。
Symptoms; Health (Allergies)	8	I have hay fever.	Kahunsho desu.	花粉症です。
Symptoms; Health (Allergies)	8	I have a runny nose.	Hanamizu ga tareru.	鼻水が垂れる。
Symptoms; Health (Allergies)	8	My eyes itch.	Me ga kayui.	目が痒い。
Symptoms; Health (Allergies)	8	My throat itches.	Nodo ga kayui.	喉が痒い。
Symptoms; Health (Allergies)	8	My throat is dry.	Nodo ga kawaku.	喉が渇く。
Symptoms; Health (Allergies)	8	I sneeze.	Kushami ga deru.	くしゃみが出る。
Symptoms; Health (Allergies)	8	I can't stop sneezing.	Kushami ga tomaranai.	くしゃみが止まらない。
Symptoms; Health	8	I'm thirsty.	Nodo ga kawakimashita.	喉が渇きました。
Symptoms; Health (Allergies)	8	My hands are itchy.	Te ga kayui.	手が痒い。
Symptoms; Health (Allergies)	8	My nose is running.	Hanamizu ga tareru.	鼻水が垂れる。
Symptoms; Health (Allergies)	8	I have a terrible runny nose.	Hanamizu ga hidoi desu.	鼻水がひどいです。
Illness; Health (Allergies)	8	I caught hay fever.	Kafunsho ni kakatta.	花粉症にかかった。
General; Food	2	The child eats candy.	Kodomo ga ame wo namemasu.	子供が飴をなめます。
Medicine; Health (Pharmacy)	8	How much is this antiflatulent?	Kono seichozai wa ikiura desu ka.	この整腸剤はいくらですか。
Health; Pain / Ailments	9	I have a headache.	Zutsu ga shimasu.	頭痛がします。
Common Phrases; Identification	5	That's medicine.	Are wa kusuri desu.	あれは薬です。
Health (Allergies); Vocabulary	8	Runny nose.	Hanamizu ga tareru.	鼻水が垂れる。
Health (Allergies); Vocabulary	8	Itchy eyes.	Me ga kayui.	目が痒い。
Health (Allergies); Vocabulary	8	Itchy throat.	Nodo ga kayui.	喉が痒い。
Health (Allergies); Vocabulary	8	Dry throat.	Nodo ga kawaku.	喉が渇く。
Health (Allergies); Vocabulary	8	Sneezing.	Kushami ga deru.	くしゃみが出る。
Allergies; Dietary Needs	10	I am allergic to eggs.	Tamago arerugi desu.	卵アレルギーです。
Allergies; Dietary Needs	10	I am allergic to dairy products.	Nyuseihin arerugi desu.	乳製品アレルギーです。
Requests; Dietary Needs	10	Please serve it to me without eggs.	Tamago nuki de kudasai.	卵抜きでください。
Scheduling; Making Plans	5	Is Friday night alright with you?	Kin-yobi no yoru wa daijobu desu ka.	金曜日の夜は大丈夫ですか。
Ordering; At a Restaurant	8	Would you like rice or bread?	Raisu to pan, dochira ga ii desu ka.	ライスとパン、どちらがいいですか。
Requests; Dietary Needs	9	A small serving of noodles please.	Men sukuname de onegai shimasu.	麺少な目でお願いします。
Requests; Dietary Needs	9	A large serving of rice, please.	Raisu omori onegai shimasu.	ライス大盛りお願いします。
Requests; Dietary Needs	10	No tomatoes, please.	Tomato nuki de o-negai shimasu.	トマト抜きでお願いします。
Allergies; Dietary Needs	10	I'm allergic to peanuts.	Pinattsu arerugi ga arimasu.	ピーナッツアレルギーがあります。
Descriptions; Food	6	Buckwheat noodles are delicious.	Soba wa oishii desu.	そばはおいしいです。
Identification; Food	7	Milk and cheese are dairy products.	Gyunyu to chizu wa nyuseihin desu.	牛乳とチーズは乳製品です。
Allergies; Dietary Needs	10	I have allergies.	Arerugi ga arimasu.	アレルギーがあります。
Prohibitions; Rules	5	Children are not allowed.	Kodomo wa dame desu.	子供はだめです。
Dietary Needs; Vocabulary	10	Without eggs.	Tamago nuki.	卵抜き。
Dietary Needs; Vocabulary	9	Large serving.	Omori.	大盛り。
Dietary Needs; Vocabulary	9	Small serving.	Sukuname.	少なめ。
Requests; Dietary Needs	9	Rice large serving.	Raisu omori.	ライス大盛り。
Requests; Dietary Needs	9	Rice small serving.	Raisu sukuname.	ライス少なめ。
Requests; Dietary Needs	10	Without eggs.	Tamago nuki.	卵抜き。
Common Responses; Reassurance	7	It's okay.	Daijobu.	大丈夫。
Prohibitions; Rules	6	No! (Don't eat this)	Dame.	だめ。
Emergency; Earthquake	8	Is this an earthquake?	Kore wa jishin desu ka?	これは地震ですか？
Emergency; Earthquake	8	It's an earthquake.	Jishin desu.	地震です。
Common Responses; Agreement	8	That's right.	So desu.	そうです。
Common Responses; Disagreement / Correction	8	That's incorrect.	Chigaimasu.	違います。
Emergency; Earthquake	9	Let's hide under a table.	Teburu no shita ni kakuremasho.	テーブルの下に隠れましょう。
Emergency; Evacuation	9	Let's evacuate.	Hinan shimasho.	避難しましょう。
Emergency; Evacuation	9	Please evacuate.	Hinan shite kudasai.	避難してください。
Questions; Ownership	5	Huh? Is this mine?	Are? Kore wa watashi no desu ka.	あれ？これは私のですか？
Common Phrases; Feelings	4	I don't know what to do.	Nani o sureba ii no ka wakaranai.	何をすればいいのか分からない。
General; Health	6	I often get sick.	Yoku byoki wo suru.	よく病気をする。
Social; Celebrations	4	Let's toast!	Kanpai shimasho.	乾杯しましょう！
Emergency; Evacuation	9	Let's evacuate this place.	Koko kara hinan shimasho.	ここから避難しましょう。
Location; Prepositions	4	The books are under the desk.	Hon wa tsukue no shita ni aru.	本は机の下にある。
Location; Prepositions	4	There is a ball under the car.	Kuruma no shita ni boru ga arimasu.	車の下にボールがあります。
Location; Prepositions	6	There is a cat under the table.	Teburu no shita ni neko ga imasu.	テーブルの下に猫がいます。
Common Responses; Disagreement / Correction	7	No, that's wrong.	Iie, chigaimasu.	いいえ、違います。
Introductions; Confirmation	5	Are you Mr. Tanaka? -Yes, I am.	Tanaka-san desu ka. -Hai, sou desu.	田中さんですか。 -はい、そうです。
Natural Disasters; Facts	2	Japan is prone to earthquakes.	Nihon wa jishin-taikoku da.	日本は地震大国だ。
Emergency; Earthquake	7	We had an earthquake yesterday.	Kino, jishin ga arimashita.	昨日、地震がありました。
Emergency; Preparedness	5	I prepared an emergency backpack.	Hinanbukuro wo yoi shimashita.	避難袋を用意しました。
Emergency; Earthquake	9	Let's hide under the table.	Teburu no shita de kakuremasho.	テーブルの下に隠れましょう。
Initial Meeting; Introductions	6	Nice to meet you.	Hajimemashite.	はじめまして。
Introductions; Formal	7	Thank you in advance for your assistance.	Yoroshiku onegai shimasu.	よろしくお願いします。
Introductions; Origin	7	I am from New York.	Nyuyoku shusshin desu.	ニューヨーク出身です。
Introductions; Origin	6	It is near Sydney.	Shidoni no chikaku desu.	シドニーの近くです。
Introductions; Name (Formal)	8	I am (humbly) called Sachiko Nakagome.	Nakagome Sachiko to moshimasu.	中込佐知子と申します。
Introductions; Formal	6	(super polite way of saying) Thank you in advance for your assistance.	Dozo yoroshiku onegai itashimasu.	どうぞよろしくお願いいたします。
Introductions; Origin	7	Where are you from?	Shusshin wa doko desu ka.	出身はどこですか。
Introductions; Name (Formal)	8	My name is Kazuo Mizuki.	Mizuki Kazuo to moshimasu.	水木和夫と申します。
Introductions; Name	8	My name is Nakagome Sachiko.	Nakagome Sachiko desu.	中込佐知子です。
Introductions; Name	8	My name is John Smith.	John Smith desu.	ジョン・スミスです。
Introductions; Origin	7	I am from XXX.	XXX shusshin desu.	XXX出身です。
Introductions; Origin	6	I am from London.	Rondon no chikaku desu.	ロンドンの近くです。
Asking the Time; Telling Time	6	What time is it now?	Ima nan-ji desu ka?	今何時ですか？
Common Phrases; Status	4	I'm on the phone right now.	Ima denwa chu desu.	今電話中です。
Stating the Time; Telling Time	7	It's 11 o'clock now.	Ima, ju ichi-ji desu.	今、十一時です。
Schedules; Telling Time	7	Breakfast starts at 6:30.	Roku-ji han kara asa-gohan desu.	六時半から朝ご飯です。
Schedules; Telling Time	6	I will meet my friend at seven thirty.	Shichi-ji sanjuppun ni tomodachi ni aimasu.	七時三十分友達に会います。
Relative Time; Telling Time	4	I came here 5 minutes ago.	Watashi wa gofun-mae ni koko ni kimashita.	私は五分前にここに来ました。
Stating the Time; Telling Time	7	It's half past six now.	Ima, roku-ji han desu.	今、六時半です。
Telling Time; Vocabulary	8	Six o'clock.	Roku-ji.	六時。
Telling Time; Vocabulary	8	Ten o'clock.	Ju-ji.	十時。
Telling Time; Vocabulary	8	Five minutes.	Go-fun.	五分。
Telling Time; Vocabulary	8	Ten minutes.	Ju-ppun.	十分。
Telling Time; Vocabulary	8	Twenty minutes.	Niju-ppun.	二十分。
Telling Time; Vocabulary	8	Thirty minutes.	Sanju-ppun.	三十分。
Stating the Time; Telling Time	8	6:20.	Roku-ji niju-ppun.	六時二十分。
Stating the Time; Telling Time	8	6:30.	Roku-ji sanju-ppun.	六時三十分。
Relative Time; Telling Time	7	Five minutes to.	Go-fun mae.	五分前。
Relative Time; Telling Time	7	Five minutes to six.	Roku-ji go-fun mae.	六時五分前。
Hours; Telling Time	8	one o'clock	ichi-ji	一時
Hours; Telling Time	8	two o'clock	ni-ji	二時
Hours; Telling Time	8	three o'clock	san-ji	三時
Hours; Telling Time	8	four o'clock	yo-ji	四時
Hours; Telling Time	8	five o'clock	go-ji	五時
Hours; Telling Time	8	six o'clock	roku-ji	六時
Hours; Telling Time	8	seven o'clock	shichi-ji	七時
Hours; Telling Time	8	eight o'clock	hachi-ji	八時
Hours; Telling Time	8	nine o'clock	ku-ji	九時
Hours; Telling Time	8	ten o'clock	ju-ji	十時
Hours; Telling Time	8	eleven o'clock	juichi-ji	十一時
Hours; Telling Time	8	twelve o'clock	juni-ji	十二時
Opening; Business Hours	9	What time does this place open?	Koko wa nan-ji ni akimasu ka?	ここは何時に開きますか？
Opening; Business Hours	9	It will open at 10 o'clock.	Ju-ji ni akimasu.	十時に開きます。
Closing; Business Hours	9	What time does it close?	Koko wa nan-ji ni shimarimasu ka?	ここは何時に閉まりますか？
Closing; Business Hours	9	It will close at 12 o'clock.	Ju ni-ji ni shimarimasu.	十二時に閉まります。
Closing; Business Hours	9	The kitchen will close at 12 o'clock.	Ju ni-ji ni kitchin ga shimarimasu.	十二時にキッチンが閉まります。
Thanking for Past Actions; Gratitude	8	Thank you very much.	Arigato gozaimashita.	ありがとうございました。
Common Phrases; Chores	1	I cleaned up the kitchen.	Kitchin wo soji shimashita.	キッチンを掃除しました。
Closing; Business Hours	9	This restaurant closes at 11pm. The kitchen closes at 10pm.	Kono resutoran wa ju ichi-ji ni shimarimasu. Kitchin wa ju-ji ni shimarimasu.	このレストランは十一時に閉まります。キッチンは十時に閉まります。
Opening; Business Hours	9	It will open at 11:00 AM.	Ju ichi-ji ni akimasu.	十一時時に開きます。
Likes; Preferences	8	I like this.	Kore wa suki desu.	これは好きです。
Likes; Preferences	8	I like ramen noodles.	Ramen wa suki desu.	ラーメンは好きです。
Likes; Preferences	8	I like tempura.	Tempura wa suki desu.	天ぷらは好きです。
Dislikes; Preferences	8	I don't like this.	Kore wa kirai desu.	これは嫌いです。
Dislikes; Preferences	8	I don't like fermented beans.	Natto wa kirai desu.	納豆は嫌いです。
Preferences; Asking	8	Do you have any food preferences?	Suki kirai wa arimasu ka?	好き嫌いはありますか？
Identification; Questions	10	What is this?	Kore wa nan desu ka.	これは何ですか。
Questions; Ownership	5	Huh? Is this mine?	Are? Kore wa watashi no desu ka.	あれ？これは私のですか？
Finding Items; Shopping	7	Do you have any dried seaweed at the store?	Kono omise ni nori ha arimasuka?	このお店に海苔はありますか？
Likes; Preferences	6	I like seaweed.	Wakame ga suki desu.	ワカメが好きです。
General; Food	4	Children love salmon roe!	Kodomo-tachi ga daisuki na ikura!	子供たちが大好きなイクラ！
Likes; Preferences	7	My favorite sushi is ikura (salmon roe).	Watashi wa ikura no sushi ga ichiban suki da.	私はいまの寿司が一番好きだ。
Dislikes; Preferences	7	I dislike natto.	Natto wa kirai desu.	納豆は嫌いです。
Food; Culture	3	Traditionally people in West Japan enjoy tempura with salt, whereas people in East Japan dip it in a special sauce.	Nishi Nihon de wa tempura o shio de tabemasu ga, higashi Nihon de wa tentsuyu ni tsukete tabemasu.	西日本では天ぷらを塩で食べますが、東日本では天つゆにつけて食べます。
Food; Culture	3	Tempura is a Japanese dish.	Tenpura wa nihon no ryori desu.	天ぷらは日本の料理です。
Asking for Recommendations; At a Restaurant	9	Are there any good ramen places?	Ii ramen-ya wa arimasu ka.	いいラーメン屋はありますか。
Dislikes; Preferences	4	I hate sad movies.	Watashi wa kanashii eiga ga kirai desu.	私は悲しい映画が嫌いです。
Likes; Preferences	7	I like this store.	Kono mise ga suki desu.	この店が好きです。
Likes; Preferences	3	I like Audrey Hepburn.	Watashi wa Odori Heppuban ga suki desu.	私はオードリー・ヘップバーンが好きです。
Asking About Experience; Food	6	Have you ever had Japanese yams?	Tororoimo wo tabeta koto ga arimasu ka.	とろろ芋を食べたことがありますか。
Preferences; Asking	8	Do you like or dislike anything in particular?	Suki kirai wa arimasu ka?	好き嫌いはありますか？
Amazement (Male); Exclamations	4	Holy! (male speech)	Sugee!	すげえ！
Surprise (Female); Exclamations	4	Oh my! (female speech)	Ara ma!	あらま！
Descriptions; People	3	Cameron Diaz is beautiful.	Kyameron Diasu wa utsukushii desu.	キャメロン・ディアスは美しいです。
Descriptions; Color / Nature	5	The blue sky is beautiful.	Aoi sora wa kirei desu.	青い空はきれいです。
Descriptions; Color / Food	4	Broccoli is a green vegetable.	Burokkori wa midori no yasai desu.	ブロッコリーは緑の野菜です。
Descriptions; Color / Nature	4	What is the purple flower?	Murasaki iro no hana wa nan desu ka.	紫色の花は何ですか。
Descriptions; Color / Clothing	6	I bought black shoes.	Kuroi kutsu o kaimashita.	黒い靴を買いました。
Descriptions; Color / Clothing	6	I want a white dress.	Shiroi doresu ga hoshi desu.	白いドレスが欲しいです。
Descriptions; Color / Clothing	6	I bought brown pants.	Chairoi zubon wo kaimashita.	茶色いズボンを買いました。
Descriptions; Color / Clothing	5	Those yellow-green shoes are cute, aren't they.	Sono kimidori no kutsu, kawaii desu ne.	その黄緑の靴、かわいいですね。
Descriptions; Color / Objects	3	I rode in a reddish purple car.	Akamurasaki iro no kuruma ni norimashita.	赤紫色の車に乗りました。
Descriptions; Color / Objects	2	Japanese name stamps are a bright red color.	Nihon no hanko wa shuiro desu.	日本のハンコは朱色です。
Descriptions; Color / People	3	The child's cheeks are red.	Kodomo no hoho ga akai desu.	子供の頬が赤い。
Descriptions; Color / Nature	4	The sunflowers are yellow.	Himawari wa kiroi desu.	ひまわりは黄色いです。
Art; Descriptions	2	She painted a picture with delicate brushstrokes.	Kanojo wa sensai na fudetsukai de e o kakimashita.	彼女は繊細な筆遣いで絵を描きました。
Descriptions; People	3	Babies are cute.	Aka-chan wa kawaii.	赤ちゃんはかわいい。
Art; Descriptions	4	This picture is great.	Kono e wa sugoi desu ne.	この絵はすごいですね。
Descriptions; Places	5	Tokyo is really convenient.	Tokyo wa honto ni benri desu.	東京は本当に便利です。
Comparisons; Speed	7	Which is faster, a bus or a train?	Basu to densha, dochira no ho ga hayai desu ka.	バスと電車、どちらの方が速いですか。
For Lateness; Apologies	6	I'm sorry I'm late.	Osoku natte gomen nasai.	遅くなってごめんなさい。
Requests; Offering	6	Please have some more.	Motto tabete kudasai.	もっと食べてください。
Descriptions; People	3	She has a small face.	Kanojo wa kao ga chiisai.	彼女は顔が小さい。
Locations; Directions	8	There is a big bookstore in front of the bank.	Ginko no mae ni okii hon-ya ga aru.	銀行の前に大きい本屋がある。
Descriptions; Color / Objects	4	She has a pinkish beige cell phone.	Kanojo wa hadairo no keitai wo motte iru.	彼女は肌色の携帯を持っている。
Descriptions; Aesthetics	6	Beautiful!	Utsukushi!	美しい！
Descriptions; Aesthetics	6	Beautiful, isn't it?	Utsukushi desu ne.	美しいですね。
Comparisons; Size	8	Smaller.	Motto chisai.	もっと小さい。
Comparisons; Size	8	Bigger.	Motto oki.	もっと大きい。
Lost & Found; Reporting a Loss	9	I lost a bag.	Kaban o nakushimashita.	鞄をなくしました。
Lost & Found; Finding the Office	9	Where is the lost and found counter?	Wasuremono toriatsukaijo wa doko desu ka?	忘れ物取扱所はどこですか？
Lost & Found; Claiming an Item	8	This bag is mine.	Kono kaban wa watashi no desu.	この鞄は私のです。
Lost & Found; Reporting a Loss	9	I lost my glasses.	Megane wo nakushimashita.	眼鏡をなくしました。
Lost & Found; Reporting a Loss	9	Oh no! I forgot my wallet!	Ikenai! O-saifu o wasureta!	いけない！お財布を忘れた！
Documents; Travel	7	A passport is a must for an international trip.	Kaigairyoko ni pasupoto wa hissu da.	海外旅行にパスポートは必須だ。
Documents; Travel	7	I have a passport.	Pasupoto ga arimasu.	パスポートがあります。
Actions; Common Phrases	4	To put an umbrella up.	Kasa o sasu.	傘を差す。
Requests; Items	8	Please give me that umbrella.	Ano kasa o kudasai.	あの傘をください。
Lost & Found; Reporting a Loss	10	I lost my passport.	Pasupoto o nakushimashita.	パスポートをなくしました。
Lost & Found; Reporting a Loss	9	I lost my umbrella.	Kasa o nakushimashita.	傘をなくしました。
Questions; Ownership	7	Is this yours?	Kore wa anata no desu ka?	これはあなたのですか？
Travel; Routes	8	From Tokyo Station to Shinjuku Station.	Tokyo eki kara Shinjuku Eki.	東京駅から新宿駅。
Lost & Found; Inquiries	5	Will you have a sale of lost items?	Wasuremono no seru wa shimasu ka?	忘れ物のセールはしますか？
Transportation; Asking for Directions	10	Where is the taxi stand?	Takushinoriba wa doko ni arimasu ka.	タクシー乗り場はどこにありますか。
Questions; Time / Events	6	When does the football game start?	Sono sakka no shiai wa itsu hajimarimasu ka?	そのサッカーの試合はいつ始まりますか？
Questions; Time / Events	5	When are you going to America?	Itsu Amerika ni ikimasu ka.	いつアメリカに行きますか。
Personal Information; Questions	8	What's your phone number? / What's the phone number?	Denwabango wa nan-ban desu ka.	電話番号は何番ですか。
Personal Information; Questions	8	What's your name?	O-namae wa nan desuka.	お名前は何ですか。
Personal Information; Questions	7	What's that person's name?	Ano hito no namae wa nan desu ka.	あの人の名前は何ですか。
Requests; Offering	6	Please have some more.	Motto tabete kudasai.	もっと食べてください。
Common Responses; Disagreement / Correction	7	No, that's wrong.	Iie, chigaimasu.	いいえ、違います。
Objects; Descriptions	2	The largest ship I had ever seen was arriving at the port.	Mita koto mo nai yona okisa no fune ga minato ni tochaku shita.	見たこともないような大きさの船が港に到着した。
Clothing; Shopping	6	I want a white dress.	Shiroi doresu ga hoshi desu.	白いドレスが欲しいです。
Clothing; Shopping	6	I bought brown pants.	Chairoi zubon wo kaimashita.	茶色いズボンを買いました。
Distance; Travel	8	How far is it from Shinjuku to Shibuya?	Shinjuku kara Shibuya made dono kurai desu ka.	新宿から渋谷までどのくらいですか。
Lost & Found; Description	8	What color?	Nani iro?	何色？
Lost & Found; Description	8	Big brown bag.	Oki, chairo no kaban.	大きい、茶色の鞄。
Lost & Found; Description	8	Small black bag.	Chisai kuro no kaban.	小さい、黒の鞄。
Lost & Found; Description	8	Bigger.	Motto oki.	もっと大きい。
Lost & Found; Description	8	Smaller.	Motto chisai.	もっと小さい。
Lost & Found; Location	8	Tokyo Station to Shinjuku Station.	Tokyo eki kara Shinjuku eki.	東京駅から新宿駅。
Physical State; Feelings	8	I'm tired.	Tsukarete imasu.	疲れています。
Physical State; Feelings	8	I'm cold.	Samui desu.	寒いです。
Physical State; Feelings	8	I'm hot.	Atsui desu.	暑いです。
Physical State; Feelings	9	My stomach is empty. (I'm hungry)	O-naka ga suite imasu.	お腹が空いています。
Physical State; Feelings	9	My throat is dry. (I'm thirsty)	Nodo ga kawaite imasu.	喉が渇いています。
Physical State; Feelings	7	My ankles are tired.	Ashikubi ga tsukaremashita.	足首が疲れました。
Weather; Temperature	6	It's getting so cold lately.	saikin, totemo samuku natte kimashita.	最近、とても寒くなってきました。
Weather; Temperature	4	Alaska is very cold.	Arasuka wa totemo samui desu.	アラスカはとても寒いです。
Weather; Temperature	6	It's hot today.	Kyo wa atsui desu.	今日は暑いです。
Illness; Health	8	I got an upset stomach.	O-naka o kowashita.	お腹を壊した。
Health; Pain / Ailments	8	My throat hurts.	Nodo ga itai desu.	喉が痛いです。
Physical State; Feelings	9	I'm thirsty.	Nodo ga kawakimashita.	喉が渇きました。
Location; Asking	8	Where are you now?	Ima doko ni iru?	今どこにいる？
Common Phrases; Suggestions	7	Let's take a break.	Kyukei shimasho.	休憩しましょう。
Requests; General	9	Please give me XXX.	XXX o kudasai.	XXXをください。
Requests; Food & Drink	10	Please give me water.	Mizu o kudasai.	水をください。
Requests; Items	8	Please give me a blanket.	Mofu o kudasai.	毛布をください。
General; Celebrations	3	Congratulations (formal)	Omedeto gozaimasu.	おめでとうございます。
Birthday; Celebrations	2	Happy Birthday!	Tanjobi omedeto gozaimasu!	誕生日おめでとうございます！
Birthday; Celebrations	2	Today is my birthday.	Kyo wa watashi no tanjobi desu.	今日は私の誕生日です。
Gratitude; Expressing Thanks	10	Thank you very much.	Domo arigato gozaimasu.	どうもありがとうございます。
New Year; Celebrations	2	Happy New Year!	Akemashite omedeto gozaimasu!	明けましておめでとうございます！
Wedding; Celebrations	2	Congratulations on your wedding!	Go-kekkon omedeto gozaimasu!	ご結婚おめでとうございます！
Wedding; Celebrations	1	We are getting married in June.	Watashitachi wa roku-gatsu ni kekkon shimasu.	私たちは六月に結婚します。
Events; Culture	1	My coming-of-age ceremony is next year.	Seijinshiki wa rainen desu.	成人式は来年です。
Beliefs; Culture	1	People rarely have a wedding party on a Butsumetsu day.	Butsumetsu ni kekkonshiki wa shimasen.	仏滅に結婚式はしません。
Birthday; Celebrations	2	Happy Birthday! (casual)	Omedeto!	おめでとう！
Birthday; Celebrations	2	It's Jim's birthday.	Jim no tanjobi.	ジムの誕生日。
New Year; Celebrations	2	Because the year started.	Akemashite.	明けましてお。
Free Items; Shopping	6	It's free.	Sabisu.	サービス。
Holidays; Culture	1	In the lunisolar calendar, Japan's National Foundation Day falls on New Year's Day.	Kenkoku kinen no hi wa, ky reki de wa Gantan desu.	建国記念の日は、旧暦では元旦です。
Holidays; Culture	1	Labour Thanksgiving Day is the day for rewarding daily hard work.	Kinr. kansha no hi wa, hibi no kinr. o negirau hi desu.	勤労感謝の日は、日々の勤労をねぎらう日です。
Holidays; Culture	1	"On Coming of Age Day, many men and women who are or will be twenty years old by the end of March that year wear traditional Japanese clothes called ""kimono"" and ""hakama""."	Seijin no hi ni wa, hatachi o mukaeru .ku no danjo ga kimono ya hakama o kimasu.	成人の日には、二十歳を迎える多くの男女が着物や袴を着ます。
Holidays; Culture	1	Japanese people show appreciation for their grandparents on Respect for the Aged Day.	Keir. no hi ni wa, sofubo ni kansha no kimochi o tsutaemasu.	敬老の日には、祖父母に感謝の気持ちを伝えます。
Holidays; Culture	1	In the olden days, Japanese people measured the height of the children on Children's Day every year to see how much they had grown.	Mukashi wa, maitoshi kodomo no hi ni shinch. o hakari, seich. o miru sh kan ga arimashita.	昔は、毎年子供の日に身長を測り、成長を見る習慣がありました。
Food; Culture	1	Cut mochi is enjoyed either grilled or cooked.	Kirimochi wa yaitari ry ri shitari shite tabemasu.	切り餅は焼いたり料理したりして食べます。
Food; Culture	1	There are glutinous rice-pounding events held locally in Japan on New Year's Day.	O-sh gatsu ni wa, chiiki de mochitsuki taikai ga okonawaremasu.	お正月には、地域で餅つき大会が行われます。
Food; Culture	1	In Japan, there are many people who eat natt. every morning.	Nihon de wa, maiasa natt o taberu hito ga takusan imasu.	日本では、毎朝納豆を食べる人がたくさんいます。
Food; Culture	2	Rice balls are available even at convenience stores.	Onigiri wa, konbini de mo kaemasu.	おにぎりは、コンビニでも買えます。
Food; Culture	2	Tofu is famous all over the world as a healthy food.	T fu wa, kenk teki na tabemono to shite sekai de mo y.mei desu.	豆腐は、健康的な食べ物として世界でも有名です。
Food; Culture	2	Tofu is cheap and healthy.	T fu wa yasukute kenk teki desu.	豆腐は安くて健康的です。
Food; Culture	2	Lately you can get taiyaki with a variety of different fillings.	Saikin wa, taiyaki no nakami ni iroiro na shurui ga arimasu.	最近は、たい焼きの中身にいろいろな種類があります。
Food; Shopping	5	I want to buy fish-shaped pancakes.	Taiyaki o kaitai desu.	たい焼きを買いたいです。
Food; Culture	1	In Japan, there are many different types of iced coffee available at vending machines.	Nihon de wa, iroiro na shurui no aisu k h. ga jid hanbaiki de kaemasu.	日本では、いろいろな種類のアイスコーヒーが自動販売機で買えます。
Drinks; Food	7	Do you have Japanese rice wine?	Nihonshu ga arimasu ka.	日本酒がありますか。
Food; Culture	1	Ramune is enjoyed typically in summer not only for its refreshing taste, but also for its refreshingly cool-looking glass bottle.	Ramune wa, sawayaka na aji dake de naku, suzushige na garasubin no shiy mo atte, natsu ni yoku nomaremasu.	ラムネは、爽やかな味だけでなく、涼しげなガラス瓶の仕様もあって、夏によく飲まれます。
Events; Culture	1	In a traditional Shinto-style Japanese wedding ceremony, the bride and groom share sake as proof of their bond.	Shinzen kekkonshiki de wa, katame no shirushi to shite shinr shimpu ga nihonshu o nomimasu.	神前結婚式では、固めの印として新郎新婦が日本酒を飲みます。
Food; Culture	2	Shizuoka is very famous for green tea.	Shizuoka wa, ryokucha de y.mei desu.	静岡は、緑茶で有名です。
Food; Culture	1	The alcohol content in ch.hai is rather low, but canned ch.hai can have an alcohol percentage as high as 9%.	Ch.hai no aruk rudo wa hikume desu ga, kan ch.hai wa aruk rudo ga ky.-p.sento mo aru mono mo arimasu.	チューハイのアルコール度は低めですが、缶チューハイはアルコール度が9パーセントもあるものもあります。
Drinks; Food	6	I like Shoch.-based beverages.	Ch.hai ga suki da.	チューハイが好きだ。
Food; Culture	1	Hamburger steak is one of the most popular dishes chosen by children in Japan.	Hanb gu wa, Nihon no kodomo ga suki na tabemono no hitotsu desu.	ハンバーグは、日本の子供が好きな食べ物の一つです。
Food; Culture	1	The taste of homemade miso soup differs from family to family.	Tezukuri no miso shiru wa, katei ni yotte aji ga chigaimasu.	手作りの味噌汁は、家庭によって味が違います。
Food; Culture	1	Tempura is a Japanese dish.	Tenpura wa nihon no ry.ri desu.	天ぷらは日本の料理です。
Food; Culture	1	"Curry and rice is usually served on one plate, and consists of curry, white rice and special pickles called ""fukushinzuke""."	Kar. raisu wa, hitotsu no o-sara ni gohan, kar., fukujinzuke o moritukemasu.	カレーライスは、一つのお皿にご飯、カレー、福神漬けを盛り付けます。
